2021-01-03T13:32:10-05:00	ImpartialStranger	43106	3.977
2021-01-13T09:25:24-05:00	ChivalrousMailman	47516	5.255
2021-01-23T22:08:37-05:00	RuddyGlutamate	12524	5.327
2021-01-30T22:47:27-05:00	TiresomeSnake	21847	0.808
2021-02-09T12:39:33-05:00	FertileOrigin	37365	2.732
2021-02-13T10:12:55-05:00	FertileOrigin	41081	5.644
2021-02-17T04:27:32-05:00	CuddlyCrotch	23359	1.55
2021-02-18T23:18:42-05:00	CuddlyCrotch	46075	3.678
2021-02-23T09:35:55-05:00	FertileOrigin	21446	7.883
2021-02-24T09:15:00-05:00	CuddlyCrotch	41340	2.574
2021-03-01T20:53:00-05:00	FascinatedViscose	32939	3.966
2021-03-04T11:36:00-05:00	SincereDevelopmental	24776	3.65
2021-03-12T23:44:06-05:00	TiresomeSnake	36864	5.915
2021-03-19T00:42:20-04:00	ImpartialStranger	39425	0.177
2021-03-22T17:14:50-04:00	ImpartialStranger	17514	0.084
2021-03-27T13:53:21-04:00	FascinatedViscose	20004	9.716
2021-03-28T15:08:37-04:00	FanaticalRoster	27123	3.879
2021-03-30T03:15:58-04:00	CuddlyCrotch	27318	0.575
2021-04-09T18:02:25-04:00	ChivalrousMailman	41122	6.749
2021-04-29T10:39:35-04:00	CruelHeavy	14078	9.676
2021-05-02T14:59:25-04:00	QuixoticPantsuit	35900	1.3
2021-05-03T18:03:05-04:00	RuddyGlutamate	47012	9.933
2021-05-13T18:26:15-04:00	QuixoticPantsuit	23954	7.265
2021-05-21T13:10:19-04:00	FertileOrigin	33067	5.274
2021-06-07T11:15:21-04:00	QuixoticPantsuit	40946	6.937
2021-06-08T08:51:27-04:00	CruelHeavy	26715	1.173
2021-07-20T12:17:15-04:00	ImpartialStranger	45854	5.797
2021-07-21T14:41:40-04:00	QuixoticPantsuit	21623	1.72
2021-07-23T00:53:00-04:00	ImpartialStranger	26318	7.063
2021-08-04T12:53:17-04:00	SincereDevelopmental	30270	8.943
2021-08-08T18:16:12-04:00	CruelHeavy	14561	7.756
2021-08-09T07:06:39-04:00	SlowWaitress	31903	0.26
2021-08-13T08:41:32-04:00	ChivalrousMailman	11537	0.985
2021-08-14T04:15:54-04:00	FascinatedViscose	44821	5.569
2021-09-09T21:10:58-04:00	FascinatedViscose	15902	6.017
2021-09-13T20:45:31-04:00	UnevenTablecloth	24934	9.77
2021-10-08T08:46:04-04:00	FanaticalRoster	48776	8.435
2021-10-16T15:39:47-04:00	ImpartialStranger	30383	2.071
2021-10-21T05:26:35-04:00	CuddlyCrotch	41272	8.114
2021-10-21T08:57:26-04:00	SlowWaitress	45539	6.2620000000000005
2021-10-24T08:40:43-04:00	CuddlyCrotch	49419	7.561
2021-10-27T20:17:37-04:00	ImpartialStranger	11415	2.9
2021-11-07T08:23:37-05:00	CruelHeavy	27432	4.963
2021-11-23T10:48:46-05:00	QuixoticPantsuit	30952	7.325
2021-11-26T13:19:51-05:00	WryOdyssey	40268	2.605
2021-12-03T13:20:00-05:00	SlowWaitress	44026	6.466
2021-12-14T18:11:54-05:00	TiresomeSnake	43772	2.91
2021-12-18T18:26:04-05:00	WryOdyssey	43560	2.014
2021-12-23T04:05:17-05:00	SincereDevelopmental	29462	8.562
2021-12-26T00:29:32-05:00	WryOdyssey	14330	1.863
2022-02-05T18:32:30-05:00	FanaticalRoster	39662	0.779
2022-03-09T06:10:44-05:00	ImpartialStranger	43709	1.316
2022-03-23T07:27:54-04:00	CuddlyCrotch	32249	7.952
2022-04-02T01:43:53-04:00	FanaticalRoster	19677	8.975
2022-04-27T13:24:37-04:00	SincereDevelopmental	26453	2.407
2022-06-30T11:46:51-04:00	TiresomeSnake	62818	2.568
2022-06-30T13:40:54-04:00	QuixoticPantsuit	31101	7.981
2022-07-06T11:59:58-04:00	QuixoticPantsuit	18029	9.409
2022-07-07T06:47:17-04:00	RuddyGlutamate	41031	6.674
2022-07-15T04:20:55-04:00	RuddyGlutamate	15929	8.09
2022-07-17T07:34:18-04:00	ImpartialStranger	25896	3.49
2022-07-19T21:42:04-04:00	TiresomeSnake	28377	3.45
2022-07-26T13:27:16-04:00	CruelHeavy	21578	8.861
